"CustomerId","AccountType","RegionCode","LoyaltyScore","MarketingOptIn","JoinDate"
15620344,"Premium","N2",21,0,"2023-03-31"
15812518,"Plus","S1",100,1,"2024-08-14"
15779052,"Basic","N2",55,1,"2023-08-10"
15770811,"Basic","S1",58,0,"2024-08-17"
15614049,"Plus","S2",64,0,"2024-08-16"
15662085,"Plus","N2",86,0,"2023-06-01"
15575185,"Plus","S2",46,1,"2024-07-10"
15803136,"Plus","W1",84,0,"2023-07-31"
15706021,"Basic","W1",22,0,"2024-08-05"
15663706,"Basic","N3",60,0,"2023-09-20"
15641732,"Basic","S2",11,0,"2024-01-17"
15701164,"Premium","S1",47,0,"2024-07-23"
15738751,"Plus","N3",31,0,"2023-02-26"
15805254,"Basic","N2",77,0,"2024-03-01"
15762418,"Basic","N2",18,0,"2024-09-14"
15625759,"Basic","S1",22,0,"2023-05-22"
15622897,"Basic","N1",56,0,"2024-07-21"
15767954,"Plus","N1",17,0,"2024-06-07"
15757535,"Plus","N2",38,0,"2025-05-10"
15731511,"Premium","S1",25,0,"2023-01-15"
15809248,"Basic","N1",32,1,"2023-01-08"
15640635,"Basic","S2",15,0,"2023-08-19"
15676966,"Plus","N2",13,1,"2023-07-05"
15699461,"Plus","W1",58,0,"2023-02-22"
15738721,"Plus","S2",90,0,"2023-05-17"
15693683,"Plus","S1",50,1,"2023-06-23"
15604348,"Basic","W1",11,0,"2025-05-09"
15633059,"Basic","S2",13,1,"2023-08-07"
15808582,"Basic","N1",97,0,"2023-09-20"
15743192,"Basic","N1",50,0,"2023-09-12"
15580146,"Basic","W1",38,0,"2025-03-22"
15776605,"Basic","N3",1,1,"2023-09-27"
15804919,"Plus","N2",39,1,"2024-08-09"
15613854,"Basic","W1",27,0,"2023-08-12"
15599195,"Basic","S1",36,0,"2025-06-01"
15812878,"Premium","N2",32,0,"2024-08-26"
15602312,"Basic","S2",41,1,"2023-05-14"
15744689,"Basic","S1",15,0,"2023-06-12"
15803526,"Plus","S1",31,0,"2024-12-10"
15665790,"Basic","N1",6,0,"2024-12-01"
15715951,"Basic","S2",89,1,"2023-03-14"
15591100,"Basic","N1",52,0,"2025-06-16"
15609618,"Basic","N1",82,1,"2024-12-18"
15705512,"Premium","N3",22,1,"2024-06-26"
15698028,"Plus","N1",31,0,"2025-06-12"
15661670,"Plus","N2",100,0,"2024-09-22"
15600781,"Premium","S1",73,0,"2025-03-05"
15682472,"Plus","N1",46,0,"2024-04-28"
15580203,"Basic","W1",67,0,"2025-05-27"
15690673,"Premium","N2",97,1,"2024-11-01"
15760085,"Basic","S2",91,1,"2023-09-12"
15779659,"Plus","S1",43,1,"2025-01-26"
15627360,"Premium","W1",1,1,"2024-09-09"
15671137,"Basic","W1",44,0,"2023-07-17"
15782688,"Basic","S2",57,0,"2024-03-02"
15575492,"Basic","W1",9,0,"2024-05-07"
15591607,"Basic","N2",5,0,"2024-09-23"
15740404,"Plus","S2",79,0,"2023-03-23"
15718369,"Premium","W1",9,0,"2023-11-04"
15677871,"Basic","S2",45,1,"2025-02-20"
15642004,"Basic","S2",92,1,"2024-11-29"
15712543,"Basic","N1",77,1,"2025-02-26"
15584518,"Basic","N1",24,0,"2024-01-09"
15802381,"Basic","N1",74,1,"2024-07-17"
15610156,"Basic","W1",42,0,"2024-04-03"
15594408,"Premium","S1",22,0,"2024-05-15"
15640905,"Basic","N2",60,0,"2023-12-23"
15698932,"Basic","W1",86,0,"2023-10-23"
15713483,"Plus","N1",37,1,"2024-08-02"
15612350,"Basic","S2",39,0,"2023-10-27"
15800703,"Premium","W1",84,0,"2024-10-07"
15705707,"Premium","S2",74,0,"2023-12-09"
15754105,"Basic","S2",74,1,"2023-04-30"
15703264,"Basic","S2",90,0,"2024-07-22"
15794413,"Basic","N3",89,1,"2023-07-05"
15650237,"Basic","S1",53,0,"2024-08-06"
15759618,"Basic","N2",28,0,"2023-06-07"
15811589,"Plus","N2",77,0,"2023-08-16"
15689044,"Basic","N1",15,0,"2023-11-04"
15709368,"Basic","N3",60,0,"2023-08-22"
15679145,"Basic","W1",60,1,"2023-01-11"
15655007,"Premium","W1",6,1,"2023-06-24"
15623595,"Basic","N2",52,0,"2025-02-11"
15589975,"Basic","S1",12,0,"2024-10-04"
15804017,"Basic","S2",19,0,"2025-06-16"
15692132,"Premium","N1",96,1,"2023-01-02"
15641122,"Basic","S1",75,0,"2025-01-30"
15630910,"Plus","N2",97,1,"2024-12-12"
15680772,"Plus","N3",2,1,"2023-07-01"
15658929,"Basic","N1",55,0,"2023-12-16"
15585388,"Plus","N2",15,0,"2024-09-30"
15724623,"Basic","W1",64,1,"2024-01-17"
15588537,"Plus","N1",100,0,"2023-10-24"
15574692,"Plus","N2",69,0,"2023-07-16"
15611325,"Basic","W1",15,0,"2023-10-13"
15587562,"Basic","W1",43,0,"2024-07-09"
15613172,"Plus","S2",74,0,"2024-06-05"
15651022,"Basic","N3",17,0,"2023-08-13"
15586310,"Basic","S2",98,0,"2024-12-28"
15625524,"Basic","N2",24,1,"2024-12-23"
15755209,"Plus","S1",74,0,"2023-10-13"
15645248,"Plus","S2",30,0,"2024-12-29"
15790355,"Basic","S1",67,0,"2023-11-27"
15762615,"Basic","W1",51,1,"2024-07-14"
15625426,"Basic","N2",60,0,"2023-06-12"
15716334,"Plus","N3",3,0,"2023-07-12"
15789669,"Basic","S1",5,0,"2023-05-25"
15621075,"Plus","N2",28,0,"2024-11-01"
15810845,"Basic","S1",78,0,"2025-04-17"
15719377,"Premium","S2",11,0,"2024-11-22"
15654506,"Basic","N2",72,0,"2024-06-21"
15771977,"Basic","S2",72,1,"2024-09-03"
15708710,"Basic","N1",76,0,"2024-09-14"
15726676,"Premium","N2",15,1,"2023-09-27"
15587421,"Premium","S1",83,0,"2023-02-20"
15726931,"Basic","N1",48,0,"2024-06-10"
15771086,"Plus","S2",46,1,"2023-05-08"
15756850,"Plus","S2",28,0,"2024-10-13"
15702741,"Plus","S1",7,0,"2025-01-23"
15679200,"Basic","N1",71,0,"2023-02-15"
15594815,"Basic","W1",94,0,"2023-08-22"
15635905,"Basic","N3",82,0,"2024-03-23"
15777892,"Premium","S1",88,0,"2024-08-06"
15656176,"Premium","S2",6,1,"2024-03-18"
15811127,"Plus","N2",58,0,"2024-05-17"
15604482,"Basic","N1",68,1,"2024-08-29"
15622911,"Basic","W1",55,0,"2023-10-12"
15600974,"Plus","N3",67,0,"2023-05-12"
15727868,"Premium","N2",49,0,"2024-04-20"
15627801,"Premium","N1",51,0,"2025-03-03"
15773039,"Plus","W1",59,0,"2024-06-27"
15755262,"Plus","S1",6,0,"2023-12-22"
15679531,"Basic","W1",90,1,"2023-02-06"
15684181,"Basic","S1",51,0,"2024-09-29"
15612087,"Premium","N1",38,0,"2023-05-18"
15752047,"Plus","W1",11,0,"2024-02-26"
15624592,"Basic","N3",52,1,"2024-03-20"
15573152,"Basic","W1",93,0,"2024-09-03"
15594917,"Plus","N1",20,0,"2023-08-30"
15785542,"Basic","N2",10,0,"2023-09-02"
15723488,"Basic","N2",26,0,"2024-06-22"
15680920,"Basic","W1",48,0,"2023-07-28"
15786308,"Plus","W1",91,0,"2024-04-01"
15659366,"Plus","S1",14,0,"2023-04-09"
15774854,"Basic","N1",100,0,"2024-05-16"
15725311,"Plus","S1",59,1,"2023-05-17"
15787155,"Basic","N3",12,0,"2023-07-06"
15727829,"Basic","N2",23,0,"2023-02-05"
15733247,"Plus","S2",85,0,"2024-09-21"
15568748,"Plus","S2",72,0,"2024-10-31"
15699029,"Plus","N1",39,0,"2024-04-23"
15774393,"Plus","N1",9,0,"2025-02-25"
15676895,"Plus","S2",88,0,"2024-11-11"
15637753,"Basic","N1",95,0,"2023-02-24"
15605461,"Basic","N2",25,1,"2024-04-15"
15808473,"Basic","N3",17,0,"2023-03-25"
15627000,"Basic","N3",42,0,"2023-01-06"
15787174,"Premium","S1",29,0,"2025-06-09"
15723886,"Basic","N2",60,0,"2023-12-29"
15704769,"Premium","N1",67,0,"2025-05-05"
15772896,"Plus","N1",85,0,"2025-02-06"
15711540,"Plus","S1",57,0,"2024-12-10"
15764866,"Basic","S1",72,0,"2024-10-25"
15794056,"Plus","N1",14,0,"2025-04-09"
15795149,"Basic","N1",39,1,"2023-06-19"
15812009,"Basic","N2",16,0,"2025-01-29"
15651001,"Plus","S1",18,0,"2023-09-06"
15813844,"Basic","N2",95,0,"2024-10-23"
15596175,"Basic","W1",75,0,"2023-07-29"
15576269,"Plus","N1",20,0,"2025-01-09"
15797219,"Basic","S2",46,0,"2023-09-01"
15685500,"Premium","S2",45,0,"2023-05-21"
15599792,"Premium","W1",4,0,"2024-09-23"
15657566,"Premium","N1",84,0,"2025-03-15"
15772423,"Basic","S1",95,0,"2023-06-29"
15753754,"Basic","S2",20,0,"2024-09-28"
15793726,"Premium","S1",11,1,"2025-01-23"
15694717,"Basic","S2",65,0,"2024-12-24"
15665834,"Premium","S1",18,0,"2023-01-17"
15765297,"Premium","S2",39,0,"2023-01-16"
15636684,"Premium","S1",44,0,"2024-01-20"
15592979,"Basic","W1",97,1,"2023-12-07"
15750803,"Basic","N2",100,0,"2025-06-11"
15607178,"Premium","S1",18,0,"2025-02-07"
15713853,"Basic","N2",47,0,"2025-03-08"
15673481,"Basic","N2",31,0,"2025-03-02"
15686776,"Plus","N1",99,0,"2023-02-15"
15673693,"Premium","W1",39,0,"2024-05-18"
15700696,"Plus","N2",38,0,"2025-02-08"
15813163,"Plus","N3",79,0,"2023-05-23"
15653857,"Basic","N2",47,0,"2023-10-12"
15777076,"Plus","S1",70,1,"2023-12-21"
15717398,"Premium","N2",8,0,"2025-04-09"
15799217,"Basic","S1",86,0,"2024-06-08"
15619955,"Premium","N3",13,1,"2024-07-10"
15796505,"Plus","N2",55,0,"2023-02-16"
15725166,"Plus","N2",88,0,"2024-06-11"
15800116,"Plus","S2",85,0,"2025-06-12"
15758685,"Basic","S2",43,0,"2023-04-17"
15694456,"Basic","N1",4,1,"2023-01-03"
15767339,"Plus","S1",71,1,"2024-09-07"
15683562,"Plus","N3",60,0,"2023-04-05"
15782210,"Premium","S2",12,1,"2023-05-13"
15668893,"Premium","N2",59,0,"2025-05-09"
15669169,"Basic","N1",77,1,"2025-02-21"
15643024,"Basic","N3",54,1,"2023-07-20"
15699389,"Plus","W1",44,0,"2023-09-11"
15708608,"Plus","N2",16,0,"2023-07-02"
15626144,"Plus","N2",6,0,"2023-05-30"
15573112,"Plus","W1",14,1,"2024-07-02"
15790678,"Premium","S1",58,1,"2024-05-04"
15727556,"Basic","S1",31,0,"2024-05-19"
15697307,"Basic","S2",100,0,"2024-02-17"
15652266,"Basic","S2",41,0,"2025-04-17"
15607098,"Plus","N2",35,1,"2024-05-22"
15655774,"Basic","N2",10,0,"2024-10-12"
15590241,"Basic","S2",81,0,"2024-09-03"
15785819,"Basic","W1",30,0,"2024-02-08"
15723654,"Basic","S2",44,1,"2023-08-24"
15774510,"Plus","N2",55,1,"2024-08-18"
15684173,"Basic","N3",71,0,"2025-05-08"
15650068,"Basic","N2",18,0,"2024-06-28"
15811490,"Plus","N3",83,0,"2024-09-24"
15803976,"Basic","N3",79,1,"2024-06-25"
15695699,"Basic","N2",86,0,"2024-03-09"
15624188,"Basic","N1",39,0,"2024-06-29"
15812191,"Plus","S2",42,0,"2024-10-06"
15636673,"Basic","S1",54,0,"2023-07-27"
15594898,"Plus","N2",30,0,"2023-05-20"
15660211,"Basic","N3",20,0,"2024-08-10"
15773972,"Basic","N2",96,0,"2024-08-09"
15746726,"Basic","S2",42,0,"2025-03-30"
15712287,"Basic","W1",89,0,"2023-11-03"
15702919,"Plus","N3",87,0,"2024-07-23"
15674398,"Plus","S1",5,0,"2023-04-08"
15797960,"Premium","S1",50,0,"2023-05-05"
15631868,"Basic","S1",41,0,"2023-12-15"
15581539,"Basic","W1",94,1,"2023-05-14"
15662736,"Plus","N1",39,0,"2023-08-14"
15666252,"Basic","N3",57,0,"2024-12-12"
15677512,"Basic","W1",91,0,"2024-07-02"
15626114,"Basic","N3",57,1,"2024-10-11"
15810834,"Basic","W1",37,0,"2024-12-20"
15678910,"Premium","W1",7,0,"2024-12-06"
15694408,"Plus","N1",5,0,"2024-07-21"
15585215,"Plus","N3",79,0,"2023-12-05"
15682757,"Basic","W1",51,1,"2025-04-18"
15736601,"Basic","N1",8,0,"2023-11-18"
15601848,"Basic","N2",56,1,"2025-03-23"
15736008,"Basic","S2",73,0,"2023-03-28"
15669064,"Basic","W1",11,1,"2023-04-05"
15624528,"Plus","S1",22,0,"2023-07-15"
15598493,"Plus","N1",98,1,"2023-07-11"
15601274,"Basic","N1",99,0,"2024-10-17"
15702669,"Premium","W1",77,0,"2024-06-05"
15728669,"Plus","N1",11,0,"2025-01-22"
15742668,"Plus","N2",60,1,"2024-10-22"
15697441,"Plus","N1",96,0,"2024-10-13"
15740476,"Basic","S2",15,0,"2023-01-13"
15648064,"Basic","S2",38,0,"2023-09-11"
15636624,"Basic","S1",1,1,"2023-03-22"
15807923,"Plus","N2",46,0,"2024-12-22"
15745844,"Basic","S2",88,0,"2024-01-08"
15786170,"Basic","W1",43,1,"2024-01-29"
15681081,"Basic","N3",22,1,"2025-06-08"
15684484,"Basic","N3",3,0,"2025-01-01"
15785869,"Premium","N3",14,1,"2024-02-22"
15763859,"Plus","W1",2,0,"2023-02-28"
15658935,"Basic","N1",61,0,"2023-05-08"
15747358,"Basic","W1",32,1,"2025-03-27"
15735203,"Basic","N1",38,1,"2025-02-12"
15659420,"Basic","N3",97,0,"2025-02-18"
15593365,"Basic","S1",46,0,"2024-06-24"
15777352,"Basic","S1",42,0,"2023-11-29"
15812007,"Basic","N1",6,1,"2025-06-10"
15625461,"Plus","N3",41,1,"2023-10-09"
15739438,"Plus","W1",25,0,"2024-08-02"
15611759,"Basic","S1",98,1,"2023-07-26"
15661629,"Basic","N1",11,0,"2023-09-29"
15633950,"Plus","W1",41,0,"2023-11-05"
15592386,"Basic","N3",71,0,"2024-02-07"
15803716,"Premium","N2",57,0,"2023-06-24"
15696674,"Plus","N3",46,0,"2023-08-06"
15706365,"Basic","N3",86,1,"2024-11-02"
15745088,"Basic","W1",48,0,"2023-11-22"
15676715,"Plus","W1",63,0,"2025-01-25"
15613085,"Basic","S2",39,1,"2023-09-10"
15633537,"Plus","S2",10,0,"2024-03-29"
15594720,"Premium","W1",85,0,"2023-07-08"
15684042,"Plus","W1",70,0,"2025-02-11"
15583303,"Basic","N2",65,1,"2024-03-18"
15611579,"Plus","N2",98,0,"2025-06-16"
15774696,"Basic","N3",59,0,"2023-05-10"
15694506,"Basic","S1",78,0,"2024-04-29"
15688074,"Premium","N2",36,1,"2023-01-03"
15759537,"Basic","N3",27,0,"2023-12-17"
15758449,"Premium","N1",73,0,"2024-07-08"
15583456,"Premium","S2",55,0,"2023-05-13"
15677371,"Basic","S1",70,0,"2024-11-20"
15629677,"Basic","N3",95,0,"2024-05-08"
15713578,"Basic","W1",81,1,"2023-09-23"
15591509,"Basic","N1",53,0,"2023-01-24"
15568240,"Basic","S2",60,1,"2024-06-17"
15622993,"Plus","N1",61,1,"2025-05-06"
15689294,"Basic","N3",36,0,"2023-01-03"
15720910,"Basic","N2",85,0,"2024-10-31"
15721181,"Plus","S2",27,1,"2025-05-29"
15776433,"Basic","N1",41,1,"2024-03-02"
15748936,"Plus","N2",28,0,"2023-01-04"
15717225,"Basic","S1",16,0,"2024-09-10"
15685226,"Basic","N3",35,0,"2025-03-18"
15785611,"Plus","N3",36,0,"2025-02-22"
15573456,"Plus","S2",56,0,"2024-05-17"
15684548,"Premium","N1",99,1,"2023-08-20"
15620505,"Plus","S1",19,0,"2025-05-22"
15807432,"Plus","W1",57,1,"2025-01-19"
15584766,"Basic","S2",85,0,"2023-03-13"
15612187,"Basic","W1",33,0,"2023-03-29"
15762218,"Plus","S2",23,1,"2024-06-11"
15646372,"Plus","N1",63,0,"2025-06-04"
15690452,"Premium","S1",70,0,"2024-08-25"
15747795,"Basic","N1",96,0,"2024-03-25"
15781589,"Basic","N3",22,0,"2024-03-14"
15732674,"Plus","W1",67,0,"2024-06-15"
15642291,"Basic","N2",99,1,"2024-03-10"
15692761,"Premium","N3",80,1,"2024-12-24"
15578045,"Premium","N3",59,0,"2023-03-25"
15745354,"Basic","W1",25,1,"2023-12-05"
15701376,"Plus","S2",17,0,"2023-05-06"
15691625,"Plus","N3",39,0,"2024-07-16"
15566594,"Basic","S1",77,0,"2023-01-18"
15760431,"Premium","N3",92,0,"2025-04-28"
15686302,"Basic","S1",75,0,"2025-05-14"
15801559,"Plus","N1",74,0,"2024-09-20"
15809616,"Basic","S2",39,0,"2024-09-27"
15720559,"Premium","S1",24,0,"2024-06-23"
15695632,"Basic","N3",38,1,"2023-12-11"
15659843,"Basic","S2",88,1,"2024-04-12"
15615624,"Premium","S2",97,0,"2023-05-21"
15810418,"Basic","S1",81,0,"2023-01-06"
15716186,"Basic","S1",57,1,"2024-10-30"
15674551,"Premium","N2",44,1,"2024-09-09"
15566111,"Plus","S2",99,0,"2024-10-10"
15784597,"Plus","W1",70,0,"2024-06-24"
15652883,"Basic","W1",80,0,"2024-11-08"
15806964,"Basic","N2",45,0,"2023-03-06"
15576313,"Basic","N3",92,0,"2023-02-25"
15806467,"Plus","N1",96,1,"2025-03-08"
15743040,"Plus","S2",26,1,"2025-05-31"
15705521,"Plus","N1",11,0,"2023-04-06"
15595039,"Plus","N2",52,0,"2025-06-07"
15799384,"Basic","S1",25,0,"2023-08-03"
15581197,"Basic","S2",31,0,"2025-01-12"
15693737,"Basic","N2",85,0,"2023-02-27"
15624623,"Basic","N3",45,1,"2024-05-06"
15783501,"Basic","S2",67,0,"2024-02-09"
15690134,"Premium","S2",76,1,"2023-07-03"
15782735,"Basic","W1",40,1,"2023-10-09"
15611088,"Basic","S1",46,1,"2025-02-21"
15672145,"Basic","S2",54,0,"2024-12-21"
15732628,"Plus","S1",41,0,"2023-06-12"
15787470,"Plus","N2",89,0,"2023-03-30"
15803406,"Basic","N3",81,0,"2025-02-21"
15730460,"Basic","N3",38,0,"2023-04-07"
15644572,"Plus","S2",100,1,"2024-08-09"
15694860,"Basic","S2",36,1,"2023-03-29"
15658169,"Plus","N2",83,1,"2024-06-01"
15794396,"Plus","W1",44,0,"2024-10-29"
15785798,"Basic","W1",57,0,"2023-03-04"
15710825,"Basic","W1",66,0,"2024-06-24"
15668444,"Premium","S1",81,0,"2025-03-26"
15726631,"Basic","W1",30,1,"2023-07-10"
15733797,"Basic","N3",10,0,"2024-12-16"
15747960,"Plus","S1",99,0,"2023-10-05"
15634632,"Premium","N2",61,1,"2024-06-22"
15707362,"Premium","N3",63,0,"2023-03-26"
15662976,"Plus","N3",36,1,"2023-12-01"
15732778,"Basic","N1",54,0,"2024-03-16"
15718443,"Basic","N2",97,1,"2024-12-22"
15670039,"Plus","N2",65,0,"2024-10-11"
15773792,"Plus","N1",82,0,"2025-02-28"
15613786,"Basic","S1",4,0,"2023-06-21"
15726032,"Premium","W1",55,1,"2025-05-01"
15663252,"Basic","W1",54,1,"2023-12-05"
15593782,"Basic","W1",91,0,"2024-10-29"
15633283,"Basic","W1",89,1,"2023-08-17"
15749167,"Basic","W1",64,1,"2025-03-28"
15759298,"Basic","N1",92,0,"2023-06-28"
15683625,"Basic","N2",22,0,"2023-09-04"
15635367,"Basic","S1",25,0,"2025-06-15"
15681705,"Plus","N3",81,0,"2024-11-04"
15603156,"Plus","W1",59,0,"2024-11-05"
15591986,"Plus","N1",57,0,"2024-12-30"
15798888,"Premium","S1",54,0,"2023-11-13"
15809722,"Basic","S1",44,0,"2023-10-13"
15677538,"Basic","S1",52,0,"2023-03-17"
15797736,"Premium","N1",76,1,"2024-03-27"
15695585,"Basic","N3",16,0,"2023-07-23"
15744398,"Premium","W1",16,1,"2024-12-28"
15750658,"Basic","S1",81,0,"2024-02-28"
15578186,"Premium","N1",55,0,"2025-01-04"
15676519,"Basic","N2",61,1,"2023-07-12"
15637954,"Premium","N1",95,0,"2023-10-20"
15758639,"Basic","N1",79,0,"2024-12-04"
15731744,"Premium","N1",77,0,"2025-06-15"
15807709,"Basic","S1",40,0,"2025-02-19"
15714689,"Plus","N1",91,0,"2024-02-17"
15699005,"Premium","N2",21,0,"2024-03-14"
15624170,"Basic","S1",66,0,"2023-10-28"
15725679,"Plus","N2",8,1,"2023-09-17"
15585865,"Plus","S2",71,1,"2023-07-11"
15804256,"Basic","N1",10,0,"2023-09-28"
15662403,"Plus","W1",57,0,"2024-09-07"
15733616,"Plus","W1",4,0,"2024-03-07"
15591995,"Premium","S1",43,1,"2024-12-16"
15677020,"Basic","W1",100,0,"2024-11-26"
15727688,"Basic","S1",99,0,"2023-08-05"
15715941,"Premium","N1",63,0,"2023-04-01"
15714485,"Premium","N3",43,1,"2023-07-17"
15730059,"Basic","N3",67,0,"2024-02-03"
15715527,"Plus","N2",82,0,"2023-02-08"
15576623,"Basic","N1",51,0,"2024-12-09"
15805565,"Basic","W1",56,0,"2024-04-15"
15677307,"Basic","N1",43,0,"2023-03-20"
15773890,"Basic","S2",24,0,"2024-12-29"
15598883,"Plus","N3",96,1,"2025-04-07"
15568506,"Basic","W1",34,0,"2023-04-04"
15761043,"Premium","N3",59,0,"2024-11-14"
15782236,"Premium","N1",2,0,"2023-02-12"
15593601,"Plus","W1",2,0,"2023-05-12"
15682048,"Basic","N2",10,0,"2023-03-18"
15746902,"Basic","N1",23,0,"2023-08-20"
15781307,"Plus","N2",15,0,"2023-02-08"
15775912,"Plus","W1",76,0,"2024-07-19"
15745417,"Basic","N3",17,1,"2023-05-31"
15671256,"Premium","S2",82,0,"2024-11-30"
15653547,"Plus","S1",14,1,"2024-02-23"
15595766,"Premium","N3",81,0,"2025-04-01"
15742358,"Plus","N2",79,0,"2023-07-05"
15763274,"Plus","N1",76,0,"2023-11-14"
15786063,"Basic","W1",16,0,"2024-04-08"
15600258,"Premium","N3",32,1,"2024-03-07"
15573318,"Premium","S2",23,1,"2023-05-15"
15653849,"Basic","W1",34,0,"2024-05-17"
15694272,"Basic","N2",98,0,"2024-11-15"
15736112,"Basic","W1",16,1,"2023-09-26"
15749851,"Plus","W1",34,1,"2024-03-12"
15663478,"Premium","N1",71,1,"2024-09-18"
15592300,"Basic","S1",33,0,"2024-05-12"
15567832,"Plus","N2",68,1,"2025-01-02"
15776780,"Basic","N1",43,0,"2024-07-04"
15592846,"Premium","S1",64,0,"2023-12-06"
15739803,"Plus","N1",71,0,"2023-08-30"
15794142,"Plus","S1",18,0,"2023-08-09"
15762729,"Basic","S1",68,0,"2024-10-19"
15667896,"Basic","S1",61,0,"2024-11-06"
15776223,"Basic","N1",75,0,"2023-12-27"
15705953,"Basic","W1",20,0,"2025-05-29"
15802593,"Premium","S1",11,0,"2025-04-19"
15615457,"Plus","W1",79,0,"2025-02-09"
15708916,"Premium","N2",46,0,"2023-07-09"
15595440,"Premium","S2",64,1,"2024-02-17"
15600651,"Plus","W1",81,0,"2023-11-25"
15750141,"Plus","S2",98,0,"2025-02-14"
15657284,"Premium","S1",76,1,"2023-08-10"
15763063,"Plus","S2",28,0,"2025-04-23"
15709324,"Basic","S2",48,1,"2024-11-16"
15711309,"Basic","S1",35,0,"2023-04-02"
15775318,"Basic","W1",8,1,"2024-03-15"
15705515,"Premium","S1",91,0,"2023-04-16"
15634844,"Plus","N2",22,1,"2023-09-02"
15717046,"Basic","N3",24,0,"2023-11-01"
15571816,"Plus","N1",66,1,"2024-07-08"
15670080,"Plus","S1",95,0,"2025-02-08"
15800440,"Basic","S1",86,0,"2025-04-12"
15665678,"Basic","S2",64,0,"2024-08-20"
15665956,"Plus","N2",65,1,"2023-04-07"
15788126,"Basic","S2",14,0,"2024-04-21"
15811773,"Plus","W1",25,0,"2023-09-23"
15651674,"Basic","S1",100,0,"2024-07-28"
15689614,"Premium","S1",100,0,"2023-04-13"
15795564,"Plus","S2",3,0,"2023-09-11"
15706647,"Plus","S1",5,0,"2024-03-30"
15728505,"Premium","W1",65,1,"2025-04-08"
15730076,"Basic","N3",54,0,"2024-05-27"
15622003,"Basic","N1",19,1,"2024-10-27"
15607312,"Basic","N1",97,0,"2024-05-07"
